raw_signal,customer_size
"We have 14 open roles right now and I literally cannot tell my VP which ones have candidates in the pipeline and which ones are stuck. I built a spreadsheet to track it but it's always out of date by the time I present it. Last week she asked me in the all-hands and I had to say 'I'll get back to you.' That's not a good look.",XL
"Three of our hiring managers told me they feel 'in the dark' about where their candidates are. They keep pinging me on Slack asking 'any update on the senior dev role?' and I'm spending 30 minutes a day just answering status questions instead of actually recruiting.",XL
"We evaluated BambooHR and Greenhouse last quarter. Both have a pipeline dashboard out of the box. We stayed with TalentFlow because of the pricing and the support team, but if reporting doesn't improve by renewal in March we're switching. That's a $62K contract.",XL
"I tried to search for a candidate we interviewed last year — Maria something, she was a product designer. Couldn't find her. Searched by name, by role, nothing came up. Turns out she was archived and archived candidates don't show in search. I had to ask support to pull her record. Took two days.",XL
"Our compliance team needs a report of all candidates who were rejected with the reason for rejection. GDPR audit is in November. Right now I'm exporting everything to Excel and manually cross-referencing. If this isn't automated by October we have a serious problem.",XL
"We run about 200 placements a month across 35 clients. The biggest pain point is bulk operations. When I need to move 15 candidates from 'Screening' to 'Interview' I have to click into each one individually. That's easily 45 minutes of clicking per week. My team of 8 recruiters all have the same problem.",L
"I forwarded a candidate profile to the hiring manager via email because there's no way to share it inside TalentFlow. He replied with feedback but now that feedback lives in my inbox, not in the system. We lose track of hiring manager input constantly.",L
"Fwd: RE: TalentFlow feedback — Our IT team tried to connect TalentFlow to our HRIS (Personio). There's no API documentation that I can find. We need the hired candidate data to flow into Personio automatically. Right now someone on my team manually enters every new hire. That's about 12 per month and it takes 20 minutes each.",L
"The mobile experience is really bad. I was at a career fair last month trying to pull up candidate profiles on my phone and the layout was completely broken. Couldn't read the resume, couldn't update the status. I ended up taking notes on paper and entering everything the next day.",L
"We've been asking for interview scheduling for over a year. Right now we copy availability from TalentFlow into Google Calendar, then email the candidate, then update TalentFlow with the interview time. It's three tools for one task. Calendly does this in one click.",L
"I just need to know how many people applied this month vs last month. That's it. There's no dashboard, no chart, no number anywhere in the UI. I count rows manually. It's 2026.",M
"The filters don't work well. I filtered by 'Interview' stage and got candidates who were in 'Interview' six months ago and have since been rejected. There's no way to filter by current stage only. Or maybe there is and it's not obvious. Either way, confusing.",M
"Honestly the product does what we need for basic tracking but the moment you need to report on anything it falls apart. My boss asked for time-to-hire by department and I spent half a day building it in Google Sheets.",M
"Every time I add a new job posting I have to re-enter all the same information — department, location, salary range, benefits text. There's no template. For a company that posts 5-6 roles a month that's a lot of repetitive work.",M
"We hired 3 nurses last quarter through TalentFlow. But we also had 47 applicants who we need to send rejection letters to. There's no bulk email function. I'm not sending 47 individual emails. So they just never hear back. That's terrible candidate experience and it reflects badly on our hospital.",XL
"The credential verification workflow is completely manual. For every healthcare hire we need to verify licenses, certifications, background checks. I'm tracking all of this in a separate spreadsheet because TalentFlow has no custom fields for compliance documents.",XL
"We need to be able to flag candidates who require visa sponsorship. Right now there's no field for that. I've been putting it in the notes but notes aren't searchable or filterable. One of our hiring managers almost made an offer to someone who needed sponsorship for a role where we can't sponsor.",XL
"Patient-facing roles require specific certifications. I need to filter candidates by certification type. The system doesn't support this. I'm maintaining a parallel spreadsheet for credential tracking.",XL
"Do you have an integration with Indeed or LinkedIn Recruiter? We post on 4 job boards manually. Every single one. Copy paste the job description, adjust the formatting. It's 2026 and I'm copy pasting between browser tabs.",M
"Job board posting takes us about 2 hours every time we open a new role. If there was an integration with LinkedIn and Indeed that would probably save us 6-8 hours a week across all our open positions.",M
"We just did a big warehouse hiring push — needed 30 people in 2 weeks. TalentFlow couldn't handle it. No bulk import, no way to quickly screen and move candidates through stages. We ended up doing most of it in a shared Google Sheet because it was faster.",L
"Our plant manager needs to see who's starting next Monday. There's no onboarding view or 'starting soon' filter. He calls me every Friday afternoon asking the same question. I run a manual filter, screenshot it, and email it to him.",L
"The candidate import broke when we tried to upload a CSV with 200 names from a job fair. The system just showed a spinner for 10 minutes and then nothing. No error message. We lost the data and had to re-enter everything by hand.",L
"We're in public procurement. Every hiring decision needs an audit trail — who moved the candidate to which stage and when. TalentFlow doesn't track this. Our compliance officer is not happy.",M
"The reporting we need for our annual diversity report is impossible to generate from TalentFlow. We need applicants by role, by demographic category, by outcome. I exported raw data and built the entire report in Excel. That's 3 days of work every year.",M
"Government hiring processes have strict timelines. We need to track days-in-stage against regulatory maximums. If a candidate sits in 'Review' for more than 14 days we're in violation. There's no alert or tracking for this.",M
"We only hire heavily in September and January. The rest of the year we maybe post one or two roles. Paying full price year-round for something we use 4 months a year is hard to justify to our dean.",S
"I manage student worker hiring for three departments. The candidates are mostly internal students. I wish I could flag internal vs external candidates. Also the fields are very corporate — 'salary range', 'department' — we use different terminology.",S
"Our career services office wants to see aggregate hiring data — how many students got placed, average time to hire, which departments are slowest. None of that exists. I'd have to export and build it myself. I don't have time.",S
"We need better reporting for our clients. When a client asks 'how many candidates did you source for us this month and what's the conversion rate', I should be able to pull that in 30 seconds. Right now it takes me an hour of manual counting.",L
"Our consultants work on client projects and we recruit for multiple clients simultaneously. I need a way to see pipeline by client, not just by job. The current view mixes everything together and it's chaos when you're managing 8 client accounts.",L
"The lack of analytics is killing our ability to show value to clients. If I can't demonstrate time-to-fill improvements or source-of-hire breakdowns, clients question why they're paying us. A competitor showed us their analytics dashboard last week and honestly it was embarrassing.",L
"Interview feedback from partners comes in via email, WhatsApp, sometimes a Post-it on my desk. None of it makes it into TalentFlow because there's no quick way to log feedback. We need a simple feedback form that hiring managers can fill in, even on mobile.",L
"ok so we just started using talentflow last month and its fine for tracking but we cant figure out how to set up our stages?? we have a different process than the default (we do a culture fit call before the technical) and changing the pipeline order seems impossible lol",S
"We're growing fast — 20 new hires last quarter — and the tool works but we're starting to hit limits. Biggest one: no way to see a bird's-eye view of all our hiring. I want to see one screen with all roles, how many candidates each has, and where they're stuck. Something visual, not a spreadsheet.",S
"Just hired our first recruiter (before it was just me doing everything). She needs to see only her candidates but there's no way to assign or filter by recruiter. We both see everything which is confusing.",S
"the search is terrible btw. i searched for 'react developer' and it only matches exact job titles not skills. most of our candidates have skills listed in their notes or resume text. completely useless search if it cant look at that",S
"We run 4 restaurants. When we need a new line cook we need them yesterday. The hiring process should be: post job, get applications, call the best 3, hire one. But TalentFlow makes it feel like we're hiring a VP. Too many stages, too many fields, too many clicks.",XS
"My manager asked me to find all the people who applied for server positions in the last 3 months. I couldn't figure out how to do that. The date filter seems broken or maybe I'm using it wrong. I gave up and scrolled through everything manually.",XS
"Can you make it simpler? We don't need pipeline stages or interview scorecards. We need: name, phone number, position, available start date. That's it. The current form has like 15 fields and half of them don't apply to restaurant hiring.",XS
